"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_606A","ACCT_606B","ACCT_607","ACCT_608","ACCT_609","ACCT_620","ACCT_621","ACCT_622","ACCT_623","ACCT_624","ACCT_625","ACCT_626","ACCT_627","ACCT_628","ACCT_630A","ACCT_630B1","ACCT_630B2","ACCT_640","ACCT_652C","ACCT_653A","ACCT_653B1","ACCT_653B2","ACCT_653C","ACCT_655C","ACCT_656A","ACCT_656B1","ACCT_656B2","ACCT_657A","ACCT_657B1","ACCT_657B2","ACCT_659","ACCT_660","ACCT_661","ACCT_670A","ACCT_670B","ACCT_672C","ACCT_698","ACCT_709","ACCT_725","ACCT_726","ACCT_731","ACCT_732","ACCT_733","ACCT_734","ACCT_735","ACCT_736","ACCT_737","ACCT_741C","ACCT_742C","ACCT_746C","ACCT_747A","ACCT_747B1","ACCT_747B2","ACCT_747C","ACCT_750C","ACCT_752","ACCT_753","ACCT_754","ACCT_756","ACCT_757","ACCT_758","ACCT_760A","ACCT_760B1","ACCT_760B2","ACCT_761A","ACCT_761B1","ACCT_761B2","ACCT_770","ACCT_772","ACCT_773","ACCT_774","ACCT_776","ACCT_777","ACCT_778","ACCT_780","ACCT_781","ACCT_795","ACCT_799","ACCT_811","ACCT_812","ACCT_813","ACCT_814","ACCT_815","ACCT_816","ACCT_817","ACCT_818","ACCT_820","ACCT_821","ACCT_850","ACCT_860A","ACCT_860B1","ACCT_860B2","ACCT_865","ACCT_880A","ACCT_880B1","ACCT_880B2","ACCT_900","ACCT_902A","ACCT_902B1","ACCT_902B2","ACCT_906B1","ACCT_906B2","ACCT_906C","ACCT_908B1","ACCT_908B2","ACCT_911A","ACCT_911B1","ACCT_911B2","ACCT_913","ACCT_914","ACCT_955","ACCT_956","ACCT_957","ACCT_958","ACCT_961","ACCT_962","ACCT_963","ACCT_964","ACCT_965","ACCT_966","ACCT_970","ACCT_971","ACCT_972","ACCT_974","ACCT_977","ACCT_978","ACCT_982","ACCT_983","ACCT_984","ACCT_985","ACCT_986","ACCT_987","ACCT_988","ACCT_990","ACCT_992","ACCT_993","ACCT_994","ACCT_995","ACCT_603","ACCT_743C","ACCT_744A","ACCT_744B1","ACCT_744B2","ACCT_744C","ACCT_085","ACCT_086","ACCT_087","ACCT_782","ACCT_783","ACCT_784","ACCT_796A","ACCT_796B","ACCT_796C","ACCT_796D","ACCT_796E","ACCT_797A","ACCT_797B","ACCT_797C","ACCT_797D","ACCT_797E","ACCT_799B","ACCT_799C","ACCT_799D","ACCT_840","ACCT_875","ACCT_877","ACCT_945","ACCT_801","ACCT_614","ACCT_615","ACCT_745A","ACCT_745B","ACCT_745C","ACCT_745D","ACCT_745E","ACCT_819","ACCT_867A","ACCT_867B1","ACCT_867B2","ACCT_867C","ACCT_925","ACCT_841","ACCT_465","ACCT_466","ACCT_767","ACCT_768","ACCT_918","ACCT_919","Acct_026A","Acct_026B","Acct_027A","Acct_027B","Acct_028A","Acct_028B","Acct_045A","Acct_045B","Acct_585","Acct_680","Acct_681","Acct_682","Acct_769","Acct_785","Acct_786","Acct_787","Acct_892","Acct_895","Acct_896","Acct_899","ACCT_020I","ACCT_021I","ACCT_022I","ACCT_023I","ACCT_041I","ACCT_550I","ACCT_551I","ACCT_981","ACCT_981A","ACCT_981B","ACCT_065A1","ACCT_065A2","ACCT_065A3","ACCT_065A4","ACCT_065B1","ACCT_065C1","ACCT_065D1","ACCT_065E1","ACCT_067A1","ACCT_067A2","ACCT_067B1","ACCT_067C1","ACCT_068A","ACCT_069A","ACCT_033A","ACCT_033B","ACCT_033C","ACCT_033D","ACCT_033E","ACCT_034A","ACCT_034B","ACCT_034C","ACCT_034D","ACCT_034E","ACCT_035A","ACCT_035B","ACCT_035C","ACCT_035D","ACCT_035E"
1,9/30/2020 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5917355,0,0,72281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361617,0,0,0,0,0,0,0,0,0,0,0,0,0,316835,0,92,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,21,32020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8451089,0,0,0,0,0,0,0,0,0,0,4,3,1,2,6
6,9/30/2020 0:00:00,7,0,0,13154,0,0,0,0,0,0,0,0,0,0,0,333906,0,0,0,0,0,0,0,0,0,0,0,0,113123260,0,0,1793640,0,0,0,0,1093027,0,0,0,5933764,135319,0,0,0,0,1144290,0,0,3796139,0,0,0,0,0,0,62894,0,0,18767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977000,1983000,0,35873866,0,0,737019,800228,7165041,3125246,2236587,5310526,0,0,0,0,0,1899165,0,818,0,0,0,0,0,46792,0,151658,0,114,0,382,0,0,10,0,16,0,47,0,0,5504,5464,53,92019,0,497000,0,0,746000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6838517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57537,0,0,0,0,15,57537,0,289781,55695,99001,0,497000,8902548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150822,0,0,3036867,0,0,0,2886045,0,0,0,0,3036867,182256507,0,0,0,0,0,0,0,0,0,0,67,59,3,0,62
12,9/30/2020 0:00:00,11,0,0,0,1606,0,0,0,0,0,0,0,0,0,0,3669210,0,0,0,0,0,0,0,0,0,0,0,0,20531785,0,0,709555,0,0,0,0,747000,0,0,0,548934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13131707,0,0,277023,110228,1080547,796179,134192,9393247,0,0,0,0,0,31754,0,277,0,0,0,0,0,23163,0,331550,0,33,0,130,0,0,2,0,16,0,28,0,0,3174,4023,9,32020,0,9222000,0,0,11952000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040443,0,0,0,0,0,0,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37811,48,63363,2,2890,80,104064,1,187810,21246,24496,0,498000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119399,0,0,0,119399,0,0,0,0,119399,50606968,0,0,0,0,0,0,0,0,0,0,27,49,107,9,165
13,9/30/2020 0:00:00,12,0,0,2145,483,0,0,0,0,0,0,0,0,0,0,213615,0,0,0,0,0,0,0,0,0,0,0,0,158371154,0,0,4849271,0,0,0,0,0,0,0,0,77194178,149908,0,268348,0,0,33617643,0,0,1396810,0,0,0,0,0,0,155719,0,180409,0,0,0,0,0,0,0,0,0,0,827356,0,396041,90004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,10500000,10000000,0,6945000,15111000,10930000,0,95575248,0,0,8588392,13015296,42149074,44404945,31147528,24187663,0,0,0,0,0,3028692,0,6000,0,0,0,0,0,86762,0,255400,0,0,0,1668,0,0,0,0,402,0,891,0,0,4912,3903,69,92019,0,100000,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,18,42892,0,0,0,0,18,42892,20,75249,62475,197556,0,0,1396810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4610190,0,0,32430687,0,0,0,27820497,0,0,0,0,32430687,489862712,2,1,0,0,1,0,0,0,0,0,32,19,1,0,20
16,9/30/2020 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729202,0,0,21515,0,0,0,0,0,0,0,0,593680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445633,0,0,0,0,239183,0,81423,0,0,0,0,0,0,523862,0,39,0,0,0,0,0,1795,0,15442,0,21,0,44,0,0,4,6,0,0,12,0,0,110,71,15,122019,0,550000,0,0,3668852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597,88,0,0,1178853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8467885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2020 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,0,0,0,0,0,0,0,0,6841981,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7256452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,31,0,0,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,4,62020,0,490000,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477857,0,0,0,0,0,0,7256452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29869,0,0,0,29869,0,0,0,0,29869,6812112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2020 0:00:00,17,0,0,0,16645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78123647,0,0,736177,0,0,0,0,1494000,0,0,0,38138402,598527,0,759847,0,0,0,0,0,12923973,0,0,0,0,0,0,0,163054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27439529,0,0,4529253,771619,16498261,10014515,1970780,59257774,0,0,0,0,0,689542,0,809,0,0,0,0,0,35591,0,141158,0,877,0,1838,0,0,204,0,168,0,372,0,0,9018,1657,58,92019,0,19124200,0,0,19373200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61808,5,38700,0,0,10,100508,0,169846,30221,174387,0,0,12923973,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57384,0,0,11912003,0,0,0,11854619,0,0,0,0,11912003,217487710,0,0,0,0,0,0,0,0,0,0,1,4,1,4,9
26,9/30/2020 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15496,0,0,0,0,0,0,0,0,0,0,0,0,9887688,0,0,0,0,0,0,0,5214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191891,0,0,0,0,0,1399977,0,0,0,0,0,0,0,491511,0,50,0,0,0,0,0,2123,0,13978,0,0,0,29,0,0,0,0,0,0,0,0,0,163,38,14,92018,0,3083000,0,0,4522000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2792464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,696,0,0,0,9736000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981239,0,0,0,981239,0,0,0,0,981239,14655970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2020 0:00:00,21,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160741661,0,0,2559907,0,0,0,0,0,0,0,0,226217876,519296,0,2679084,0,0,92769029,0,0,5034356,0,0,0,0,0,0,439115,291264,126464,59948,73460,29047,0,0,0,0,0,0,0,171904,0,114618,15382,73998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,47500000,0,0,0,0,0,179104037,0,0,11850307,3103297,40084702,64103619,6394262,209052480,0,0,0,0,0,169971,0,1329,0,0,0,0,0,172016,0,2225912,0,1283,0,4257,0,0,192,0,370,0,1571,0,0,24,22338,6,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4766154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19429,0,0,0,0,3,19429,0,267727,120358,329347,0,0,5034356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,734062,0,0,32568995,0,0,0,31834933,0,0,0,0,32568995,714775786,3,2,2,0,4,0,0,0,0,0,130,107,17,16,140
42,9/30/2020 0:00:00,29,0,0,0,11705,0,0,0,0,0,0,0,0,0,0,97976,0,0,0,0,0,0,0,0,0,0,0,0,52081483,0,0,489703,0,0,0,0,2970000,0,0,0,8108100,102256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14953168,0,0,1801201,264797,5306023,1723876,1535925,12326392,0,0,0,0,0,489219,0,1075,0,0,0,0,0,20544,0,25115,0,89,0,636,0,0,9,0,25,0,70,0,0,2832,861,16,92019,0,29113500,0,0,33806500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7580,0,0,0,0,3,7580,14,60872,5021,101148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696964,0,0,0,2696964,0,0,0,0,2696964,92842177,1,0,0,1,1,0,0,0,0,0,19,11,1,2,14
47,9/30/2020 0:00:00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12134516,0,0,0,0,0,0,0,4574000,0,0,0,1649600,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8452281,0,0,0,0,1536453,2187145,0,13891393,0,0,0,0,0,588632,0,112,0,0,0,0,0,5008,0,0,0,3,0,151,0,0,0,0,11,0,20,0,0,353,127,27,62020,0,2300000,0,0,13865000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7968000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637522,0,0,0,1637522,0,0,0,0,1637522,39803610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,9/30/2020 0:00:00,31,0,0,3640,0,0,0,0,0,0,0,0,0,0,0,61209,0,0,0,500000,0,0,0,0,0,0,0,0,35293167,0,0,257402,0,0,0,0,5384000,0,0,0,1360909,0,0,0,0,0,0,0,0,5490000,0,0,0,0,0,0,0,0,29924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026693,0,0,5523,22328,2705054,1475973,1839658,0,0,0,0,0,0,129444,0,194,0,0,0,0,0,7618,0,216725,0,63,0,109,0,0,49,0,0,0,50,0,0,553,921,18,62019,0,9499000,0,0,20195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13249000,0,0,0,0,0,0,5494199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11516,0,0,0,0,1,11516,0,13734,8048,95493,0,6537000,5740000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988413,0,0,0,988413,0,0,0,0,988413,50634357,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8
51,9/30/2020 0:00:00,32,0,0,0,44746,0,0,0,0,0,0,0,0,0,0,25925145,0,0,0,0,0,0,0,0,0,0,0,0,1099987468,0,0,46862584,0,0,0,0,496000,0,0,0,907242067,11300567,0,875539850,0,0,540655980,0,10170700,1037620836,0,0,0,0,0,0,535863,346425,811117,565274,364860,749714,0,0,0,0,0,0,0,1053037,0,1175770,624102,332171,917507,0,0,0,0,0,0,0,0,0,0,0,2600000,0,0,0,2962247,0,0,0,0,0,0,0,926150681,0,0,22528434,6228013,104243894,80091735,10750924,1868254378,0,0,0,0,0,2668514,0,40047,0,0,0,0,0,808769,0,7542430,0,2715,0,17687,0,0,269,0,558,0,5172,0,0,58220,65646,34,102019,0,746000,0,0,894000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382063202,0,0,0,0,0,0,420980805,0,0,0,0,0,0,0,35924345,0,0,0,0,0,0,0,0,0,0,0,0,148,809273,9,55210,0,0,157,864483,10,2941632,268458,1824864,0,0,1128073146,0,0,0,1,0,0,0,0,0,0,0,0,38527838,28827200,0,2074444,0,0,262768230,0,0,0,260693786,0,0,0,0,262768230,4055377453,22,12,9,17,38,0,0,0,0,0,373,257,39,50,346
53,9/30/2020 0:00:00,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38973130,0,0,186827,0,0,0,0,1225000,0,0,0,1701410,41158,0,0,0,0,866910,0,0,0,0,0,0,0,0,0,81995,0,0,0,0,0,0,0,0,0,0,0,0,51686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17309671,0,0,67808,3063,1686049,322073,40802,1339314,0,0,0,0,0,326415,0,81,0,0,0,0,0,11421,0,21869,0,17,0,197,0,0,0,0,0,0,6,0,0,1211,329,7,62019,0,13970000,0,0,14215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37360,4,12353,0,0,15,49713,0,25587,20565,19554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3196979,0,0,0,3196979,0,0,0,0,3196979,58327319,0,0,0,0,0,0,0,0,0,0,3,4,3,0,7
60,9/30/2020 0:00:00,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764846,0,0,0,155000,0,0,0,0,0,0,0,0,91438155,0,0,4669601,0,0,0,0,13932000,0,0,0,200346753,208530,0,0,0,0,184888365,0,7500000,4382921,0,0,0,0,0,0,179712,0,0,0,46626,0,0,0,0,0,0,0,0,0,0,0,94506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82249095,0,0,1472052,1392786,10490696,6744806,3869651,95129173,0,0,0,0,0,121538,0,339,0,0,0,0,0,56353,0,0,0,311,0,917,0,0,76,0,78,0,1038,0,0,5545,4895,21,32020,0,40177000,0,0,65804000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32245436,0,4802325,0,0,0,0,7505545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28409,14,27025,10,55223,34,110657,10,88594,31158,144026,0,4976000,16858921,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705231,0,0,0,15705231,0,0,0,0,15705231,295930458,1,1,0,0,1,0,0,0,0,0,25,20,17,28,65
62,9/30/2020 0:00:00,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21314444,0,0,68975,0,0,0,0,0,0,0,0,6089425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157278,74145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4716408,0,0,0,0,3974234,0,0,0,0,0,0,0,0,235790,0,63,0,0,0,0,0,4094,0,11930,0,3,0,149,0,0,0,0,3,0,41,0,0,297,153,9,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203769,0,0,0,203769,0,0,0,0,203769,29801317,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
75,9/30/2020 0:00:00,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002971,0,0,0,0,0,0,0,233466,0,0,0,0,0,0,0,0,0,0,0,0,755178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8012,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,62018,0,375000,0,0,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484434,0,229498,0,0,0,0,1146310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002971,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
77,9/30/2020 0:00:00,41,0,0,200,38532,0,0,0,0,0,0,0,0,0,0,13953521,0,0,0,0,0,0,0,0,0,0,0,0,80484487,0,0,249374,0,0,0,0,500000,0,0,0,11102762,31632,0,3679830,0,0,71275723,0,0,3982652,0,0,0,0,0,0,0,0,0,32375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48126913,0,0,0,0,9023729,1616426,205664,13417902,0,0,0,0,0,667722,0,765,0,0,0,0,0,31143,0,128802,0,51,0,293,0,0,5,0,45,0,93,0,0,0,1248,11,62020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,62102,0,0,4537394,0,0,0,1,0,0,0,0,0,0,0,0,738835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177834458,1,0,0,0,0,0,0,0,0,0,31,19,0,0,19
79,9/30/2020 0:00:00,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493078,0,0,0,0,0,0,0,0,0,0,0,0,190201438,0,0,3910094,0,0,0,0,0,0,0,0,87305816,524322,0,2075763,0,0,5762436,0,71856,113752324,0,0,0,0,0,0,2073170,26616,0,21382,1757,28640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101444,0,0,0,206767663,0,0,5088287,2530651,22338558,26479688,9290951,133350061,0,0,0,0,0,1907202,0,3981,0,0,0,0,0,65417,0,581117,0,290,0,2124,0,0,50,0,78,0,377,0,0,7270,5534,26,92019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47948988,0,10924480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20948,0,0,0,0,13,20948,10,98027,49409,37670,0,635000,120931805,0,0,0,1,0,0,2028750,0,0,2028750,0,0,0,0,0,765684,0,0,58952428,0,0,0,58186744,0,0,0,0,58952428,617381121,1,0,0,0,0,0,0,0,0,0,36,34,6,8,48
82,9/30/2020 0:00:00,46,0,0,0,4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104055016,0,0,1022697,0,0,0,0,1238000,0,0,0,19854389,146679,0,0,0,0,8382400,0,0,1038690,0,0,0,0,0,0,318011,0,238374,44003,8374,98651,0,0,0,0,0,0,0,0,0,50523,201569,61347,114528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93139845,0,0,1345000,234267,6504618,11292507,3501002,31056156,0,0,0,0,0,1307106,0,733,0,0,0,0,0,30858,0,179699,0,243,0,1514,0,0,20,0,53,0,148,0,0,2001,3138,15,122019,0,18407000,0,0,21587000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,163043,0,0,0,0,23,163043,0,66084,3734,21097,0,0,1038690,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19787869,0,0,0,19787869,0,0,0,0,19787869,251383445,4,4,1,3,8,0,0,0,0,0,12,16,0,1,17
90,9/30/2020 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496000,0,0,0,0,0,0,0,0,4912765,0,0,5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217852,0,0,0,0,0,0,0,0,38168,0,127,0,0,0,0,0,1531,0,35485,0,0,0,0,0,0,0,0,0,0,0,0,0,222,176,5,12020,0,200000,0,0,2772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13643,1,4876,0,0,3,18519,0,0,2618,15772,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5130617,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4
